@relation control_13_1133-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R4-9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.instance.RemoveWithValues-S2.0-C2-L1-V-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C2-L1-V-weka.filters.unsupervised.attribute.Remove-R2

@attribute sessionId numeric
@attribute whof {tv,watch,alarm,assis}
@attribute purposef {pur}
@attribute whatf {colight,cosecu,itself,cohvac,coalarm,corefri,coassis,cowash,cotv}
@attribute cstore {Locally,'Third Party Share','Remote Server'}
@attribute caction {insight,nothing,reco,opti}
@attribute decision {0,1}

@data
2,tv,pur,colight,Locally,insight,1
5,watch,pur,itself,'Remote Server',nothing,1
26,watch,pur,cohvac,Locally,nothing,1
28,alarm,pur,cotv,'Remote Server',nothing,1
31,alarm,pur,cohvac,'Remote Server',reco,1
32,tv,pur,cowash,Locally,opti,0
40,assis,pur,colight,'Third Party Share',opti,0
47,watch,pur,corefri,'Third Party Share',insight,1
49,assis,pur,colight,'Remote Server',opti,1
50,watch,pur,cohvac,'Third Party Share',opti,1
51,watch,pur,coalarm,'Remote Server',reco,1
55,assis,pur,cotv,'Third Party Share',opti,0
66,tv,pur,corefri,'Third Party Share',opti,1
67,alarm,pur,coalarm,Locally,nothing,1
69,tv,pur,corefri,Locally,nothing,1
87,watch,pur,itself,'Third Party Share',opti,1
93,assis,pur,corefri,Locally,nothing,1
106,assis,pur,coassis,'Remote Server',reco,1
111,alarm,pur,cohvac,'Third Party Share',reco,0
116,alarm,pur,coassis,'Third Party Share',insight,1
119,assis,pur,coalarm,'Remote Server',insight,1
121,watch,pur,corefri,'Remote Server',opti,0
124,tv,pur,cosecu,'Third Party Share',reco,0
127,assis,pur,cowash,'Remote Server',opti,1
131,tv,pur,cotv,'Remote Server',nothing,0
156,watch,pur,cohvac,Locally,insight,1
158,alarm,pur,cotv,'Remote Server',insight,0
162,tv,pur,cowash,Locally,reco,1
163,watch,pur,colight,Locally,insight,0
168,alarm,pur,cohvac,'Remote Server',opti,0
172,assis,pur,cotv,Locally,reco,1
173,alarm,pur,cowash,Locally,nothing,1
175,watch,pur,cohvac,Locally,opti,1
212,alarm,pur,coassis,Locally,opti,1
229,tv,pur,cotv,'Third Party Share',reco,1
234,watch,pur,cotv,'Third Party Share',insight,0
193,alarm,pur,corefri,Locally,opti,0
200,alarm,pur,cotv,Locally,opti,1
221,watch,pur,itself,'Third Party Share',reco,1
224,tv,pur,coassis,'Remote Server',nothing,1
225,assis,pur,cowash,'Third Party Share',nothing,0
232,tv,pur,coassis,'Remote Server',opti,0
243,watch,pur,coalarm,'Remote Server',opti,1
245,watch,pur,cohvac,'Remote Server',insight,1
246,watch,pur,cotv,'Remote Server',nothing,0
