@relation control_13_1133-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R4-9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.instance.RemoveWithValues-S2.0-C2-L1-V-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C2-L1-weka.filters.unsupervised.attribute.Remove-R2

@attribute sessionId numeric
@attribute whof {tv,watch,alarm,assis}
@attribute purposef {pur}
@attribute whatf {colight,cosecu,itself,cohvac,coalarm,corefri,coassis,cowash,cotv}
@attribute cstore {Locally,'Third Party Share','Remote Server'}
@attribute caction {insight,nothing,reco,opti}
@attribute decision {0,1}

@data
3,watch,pur,cosecu,'Third Party Share',insight,0
8,watch,pur,colight,Locally,nothing,1
9,tv,pur,coalarm,'Third Party Share',reco,1
10,watch,pur,corefri,'Third Party Share',reco,0
16,tv,pur,cosecu,'Remote Server',nothing,1
27,tv,pur,colight,'Third Party Share',opti,0
35,alarm,pur,colight,Locally,nothing,1
38,tv,pur,cohvac,'Remote Server',reco,1
41,assis,pur,coalarm,'Third Party Share',opti,0
43,assis,pur,coassis,'Remote Server',opti,1
46,assis,pur,cotv,'Remote Server',opti,0
48,assis,pur,coalarm,Locally,reco,1
54,assis,pur,coalarm,'Remote Server',nothing,1
59,alarm,pur,colight,'Remote Server',reco,1
64,tv,pur,cowash,'Remote Server',opti,0
70,tv,pur,cosecu,Locally,insight,1
71,alarm,pur,corefri,'Third Party Share',reco,1
82,tv,pur,cotv,Locally,insight,1
91,alarm,pur,cotv,'Third Party Share',nothing,0
98,alarm,pur,coalarm,'Remote Server',insight,0
99,watch,pur,itself,Locally,insight,1
102,watch,pur,itself,'Third Party Share',reco,1
107,tv,pur,coalarm,Locally,nothing,1
110,assis,pur,coalarm,'Third Party Share',nothing,0
113,assis,pur,coalarm,'Third Party Share',insight,0
128,watch,pur,cosecu,'Remote Server',nothing,1
129,watch,pur,colight,Locally,reco,1
139,tv,pur,corefri,Locally,reco,0
141,watch,pur,cohvac,Locally,insight,1
149,tv,pur,corefri,Locally,nothing,0
157,watch,pur,coassis,'Third Party Share',opti,1
159,assis,pur,cotv,Locally,reco,1
241,assis,pur,cosecu,'Remote Server',nothing,1
