@relation control_13_1133-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R4-9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.instance.RemoveWithValues-S2.0-C2-L1-weka.filters.unsupervised.attribute.Remove-R2

@attribute sessionId numeric
@attribute whof {tv,watch,alarm,assis}
@attribute purposef {pur}
@attribute whatf {colight,cosecu,itself,cohvac,coalarm,corefri,coassis,cowash,cotv}
@attribute cstore {Locally,'Third Party Share','Remote Server'}
@attribute caction {insight,nothing,reco,opti}
@attribute decision {0,1}

@data
7,alarm,pur,cohvac,'Third Party Share',nothing,1
12,tv,pur,colight,Locally,reco,0
13,watch,pur,coassis,Locally,nothing,1
14,tv,pur,cowash,'Remote Server',nothing,0
18,alarm,pur,cowash,Locally,reco,0
21,tv,pur,coalarm,'Remote Server',nothing,1
22,watch,pur,cosecu,'Remote Server',reco,1
30,watch,pur,cotv,Locally,opti,1
36,tv,pur,cotv,Locally,reco,1
37,alarm,pur,corefri,Locally,insight,0
44,assis,pur,cowash,'Third Party Share',insight,1
53,alarm,pur,coalarm,Locally,insight,1
61,watch,pur,itself,'Remote Server',nothing,0
68,assis,pur,cowash,'Remote Server',insight,0
72,watch,pur,cotv,'Remote Server',opti,0
73,alarm,pur,cohvac,'Third Party Share',insight,0
84,tv,pur,cosecu,'Remote Server',opti,1
85,alarm,pur,coassis,'Remote Server',nothing,0
88,assis,pur,cohvac,Locally,insight,0
92,tv,pur,cowash,Locally,insight,0
94,tv,pur,colight,'Remote Server',insight,0
95,tv,pur,corefri,Locally,nothing,1
96,watch,pur,itself,'Third Party Share',reco,0
97,watch,pur,itself,'Remote Server',insight,0
100,watch,pur,cosecu,Locally,opti,0
103,alarm,pur,cowash,'Third Party Share',insight,1
105,assis,pur,cohvac,'Third Party Share',reco,1
108,watch,pur,cosecu,'Third Party Share',opti,0
109,assis,pur,corefri,Locally,reco,1
126,watch,pur,cohvac,Locally,nothing,1
132,alarm,pur,cohvac,Locally,insight,0
135,assis,pur,coalarm,'Remote Server',insight,1
136,tv,pur,cohvac,Locally,reco,1
140,alarm,pur,colight,'Third Party Share',opti,1
152,tv,pur,cosecu,Locally,insight,0
153,alarm,pur,coassis,Locally,insight,1
222,alarm,pur,cohvac,'Third Party Share',opti,0
164,watch,pur,colight,Locally,opti,1
205,alarm,pur,colight,Locally,nothing,1
169,assis,pur,cotv,Locally,nothing,0
170,alarm,pur,coassis,'Third Party Share',opti,1
174,alarm,pur,cosecu,'Remote Server',opti,1
