@relation control_13_1133-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R4-9-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute sessionId numeric
@attribute framing {0,1,2}
@attribute whof {tv,watch,alarm,assis}
@attribute purposef {pur}
@attribute whatf {colight,cosecu,itself,cohvac,coalarm,corefri,coassis,cowash,cotv}
@attribute cstore {Locally,'Third Party Share','Remote Server'}
@attribute caction {insight,nothing,reco,opti}
@attribute decision {0,1}

@data
2,0,tv,pur,colight,Locally,insight,1
3,2,watch,pur,cosecu,'Third Party Share',insight,0
5,1,watch,pur,itself,'Remote Server',nothing,1
7,2,alarm,pur,cohvac,'Third Party Share',nothing,1
8,0,watch,pur,colight,Locally,nothing,1
9,2,tv,pur,coalarm,'Third Party Share',reco,1
10,2,watch,pur,corefri,'Third Party Share',reco,0
12,0,tv,pur,colight,Locally,reco,0
13,0,watch,pur,coassis,Locally,nothing,1
14,1,tv,pur,cowash,'Remote Server',nothing,0
16,1,tv,pur,cosecu,'Remote Server',nothing,1
18,0,alarm,pur,cowash,Locally,reco,0
21,1,tv,pur,coalarm,'Remote Server',nothing,1
22,1,watch,pur,cosecu,'Remote Server',reco,1
26,0,watch,pur,cohvac,Locally,nothing,1
27,2,tv,pur,colight,'Third Party Share',opti,0
28,1,alarm,pur,cotv,'Remote Server',nothing,1
30,0,watch,pur,cotv,Locally,opti,1
31,1,alarm,pur,cohvac,'Remote Server',reco,1
32,0,tv,pur,cowash,Locally,opti,0
35,0,alarm,pur,colight,Locally,nothing,1
36,0,tv,pur,cotv,Locally,reco,1
37,0,alarm,pur,corefri,Locally,insight,0
38,1,tv,pur,cohvac,'Remote Server',reco,1
40,2,assis,pur,colight,'Third Party Share',opti,0
41,2,assis,pur,coalarm,'Third Party Share',opti,0
43,1,assis,pur,coassis,'Remote Server',opti,1
44,2,assis,pur,cowash,'Third Party Share',insight,1
46,1,assis,pur,cotv,'Remote Server',opti,0
47,2,watch,pur,corefri,'Third Party Share',insight,1
48,0,assis,pur,coalarm,Locally,reco,1
49,1,assis,pur,colight,'Remote Server',opti,1
50,2,watch,pur,cohvac,'Third Party Share',opti,1
51,1,watch,pur,coalarm,'Remote Server',reco,1
53,0,alarm,pur,coalarm,Locally,insight,1
54,1,assis,pur,coalarm,'Remote Server',nothing,1
55,2,assis,pur,cotv,'Third Party Share',opti,0
59,1,alarm,pur,colight,'Remote Server',reco,1
61,1,watch,pur,itself,'Remote Server',nothing,0
64,1,tv,pur,cowash,'Remote Server',opti,0
66,2,tv,pur,corefri,'Third Party Share',opti,1
67,0,alarm,pur,coalarm,Locally,nothing,1
68,1,assis,pur,cowash,'Remote Server',insight,0
69,0,tv,pur,corefri,Locally,nothing,1
70,0,tv,pur,cosecu,Locally,insight,1
71,2,alarm,pur,corefri,'Third Party Share',reco,1
72,1,watch,pur,cotv,'Remote Server',opti,0
73,2,alarm,pur,cohvac,'Third Party Share',insight,0
82,0,tv,pur,cotv,Locally,insight,1
84,1,tv,pur,cosecu,'Remote Server',opti,1
85,1,alarm,pur,coassis,'Remote Server',nothing,0
87,2,watch,pur,itself,'Third Party Share',opti,1
88,0,assis,pur,cohvac,Locally,insight,0
91,2,alarm,pur,cotv,'Third Party Share',nothing,0
92,0,tv,pur,cowash,Locally,insight,0
93,0,assis,pur,corefri,Locally,nothing,1
94,1,tv,pur,colight,'Remote Server',insight,0
95,0,tv,pur,corefri,Locally,nothing,1
96,2,watch,pur,itself,'Third Party Share',reco,0
97,1,watch,pur,itself,'Remote Server',insight,0
98,1,alarm,pur,coalarm,'Remote Server',insight,0
99,0,watch,pur,itself,Locally,insight,1
100,0,watch,pur,cosecu,Locally,opti,0
102,2,watch,pur,itself,'Third Party Share',reco,1
103,2,alarm,pur,cowash,'Third Party Share',insight,1
105,2,assis,pur,cohvac,'Third Party Share',reco,1
106,1,assis,pur,coassis,'Remote Server',reco,1
107,0,tv,pur,coalarm,Locally,nothing,1
108,2,watch,pur,cosecu,'Third Party Share',opti,0
109,0,assis,pur,corefri,Locally,reco,1
110,2,assis,pur,coalarm,'Third Party Share',nothing,0
111,2,alarm,pur,cohvac,'Third Party Share',reco,0
113,2,assis,pur,coalarm,'Third Party Share',insight,0
116,2,alarm,pur,coassis,'Third Party Share',insight,1
119,1,assis,pur,coalarm,'Remote Server',insight,1
121,1,watch,pur,corefri,'Remote Server',opti,0
124,2,tv,pur,cosecu,'Third Party Share',reco,0
126,0,watch,pur,cohvac,Locally,nothing,1
127,1,assis,pur,cowash,'Remote Server',opti,1
128,1,watch,pur,cosecu,'Remote Server',nothing,1
129,0,watch,pur,colight,Locally,reco,1
131,1,tv,pur,cotv,'Remote Server',nothing,0
132,0,alarm,pur,cohvac,Locally,insight,0
135,1,assis,pur,coalarm,'Remote Server',insight,1
136,0,tv,pur,cohvac,Locally,reco,1
139,0,tv,pur,corefri,Locally,reco,0
140,2,alarm,pur,colight,'Third Party Share',opti,1
141,0,watch,pur,cohvac,Locally,insight,1
149,0,tv,pur,corefri,Locally,nothing,0
152,0,tv,pur,cosecu,Locally,insight,0
153,0,alarm,pur,coassis,Locally,insight,1
156,0,watch,pur,cohvac,Locally,insight,1
157,2,watch,pur,coassis,'Third Party Share',opti,1
158,1,alarm,pur,cotv,'Remote Server',insight,0
222,2,alarm,pur,cohvac,'Third Party Share',opti,0
159,0,assis,pur,cotv,Locally,reco,1
162,0,tv,pur,cowash,Locally,reco,1
163,0,watch,pur,colight,Locally,insight,0
164,0,watch,pur,colight,Locally,opti,1
241,1,assis,pur,cosecu,'Remote Server',nothing,1
166,2,assis,pur,cowash,'Third Party Share',nothing,1
167,1,watch,pur,colight,'Remote Server',nothing,1
168,1,alarm,pur,cohvac,'Remote Server',opti,0
205,0,alarm,pur,colight,Locally,nothing,1
169,0,assis,pur,cotv,Locally,nothing,0
170,2,alarm,pur,coassis,'Third Party Share',opti,1
172,0,assis,pur,cotv,Locally,reco,1
173,0,alarm,pur,cowash,Locally,nothing,1
174,1,alarm,pur,cosecu,'Remote Server',opti,1
175,0,watch,pur,cohvac,Locally,opti,1
212,0,alarm,pur,coassis,Locally,opti,1
178,0,tv,pur,coassis,Locally,insight,1
179,2,tv,pur,cosecu,'Third Party Share',reco,1
181,0,assis,pur,coassis,Locally,nothing,1
229,2,tv,pur,cotv,'Third Party Share',reco,1
234,2,watch,pur,cotv,'Third Party Share',insight,0
185,0,watch,pur,cotv,Locally,reco,0
189,0,tv,pur,colight,Locally,opti,1
190,2,assis,pur,coassis,'Third Party Share',insight,0
193,0,alarm,pur,corefri,Locally,opti,0
194,2,alarm,pur,coalarm,'Third Party Share',reco,0
195,1,alarm,pur,corefri,'Remote Server',insight,0
197,0,alarm,pur,cotv,Locally,opti,0
200,0,alarm,pur,cotv,Locally,opti,1
206,2,watch,pur,cotv,'Third Party Share',nothing,0
208,1,tv,pur,coassis,'Remote Server',nothing,1
209,0,tv,pur,coalarm,Locally,opti,1
210,1,assis,pur,cowash,'Remote Server',opti,1
213,1,alarm,pur,cohvac,'Remote Server',insight,1
248,0,assis,pur,coassis,Locally,opti,1
221,2,watch,pur,itself,'Third Party Share',reco,1
224,1,tv,pur,coassis,'Remote Server',nothing,1
225,2,assis,pur,cowash,'Third Party Share',nothing,0
228,0,assis,pur,cosecu,Locally,nothing,1
236,1,tv,pur,colight,'Remote Server',nothing,0
230,1,tv,pur,cotv,'Remote Server',opti,1
231,1,assis,pur,cohvac,'Remote Server',insight,0
232,1,tv,pur,coassis,'Remote Server',opti,0
233,2,tv,pur,cohvac,'Third Party Share',reco,1
251,1,watch,pur,cohvac,'Remote Server',insight,1
239,1,tv,pur,cohvac,'Remote Server',reco,1
240,0,alarm,pur,cohvac,Locally,opti,1
242,0,watch,pur,cohvac,Locally,reco,1
243,1,watch,pur,coalarm,'Remote Server',opti,1
245,1,watch,pur,cohvac,'Remote Server',insight,1
246,1,watch,pur,cotv,'Remote Server',nothing,0
316,2,alarm,pur,cotv,'Third Party Share',opti,1
268,2,alarm,pur,colight,'Third Party Share',reco,1
261,1,alarm,pur,coalarm,'Remote Server',insight,1
262,2,alarm,pur,corefri,'Third Party Share',insight,0
270,0,tv,pur,coalarm,Locally,nothing,1
274,2,watch,pur,cohvac,'Third Party Share',opti,1
275,1,tv,pur,cowash,'Remote Server',insight,1
279,2,assis,pur,cohvac,'Third Party Share',nothing,1
280,1,tv,pur,corefri,'Remote Server',insight,1
281,1,assis,pur,colight,'Remote Server',nothing,1
282,1,watch,pur,cohvac,'Remote Server',opti,1
290,0,watch,pur,colight,Locally,insight,1
291,0,alarm,pur,cowash,Locally,opti,1
292,2,tv,pur,coassis,'Third Party Share',reco,0
293,0,watch,pur,corefri,Locally,opti,0
295,2,alarm,pur,corefri,'Third Party Share',reco,0
296,0,assis,pur,cowash,Locally,nothing,1
297,0,assis,pur,coalarm,Locally,insight,0
298,1,assis,pur,cosecu,'Remote Server',opti,1
299,1,tv,pur,cowash,'Remote Server',reco,1
300,0,tv,pur,cotv,Locally,insight,0
301,2,watch,pur,colight,'Third Party Share',insight,0
302,1,tv,pur,cohvac,'Remote Server',insight,1
303,1,alarm,pur,cosecu,'Remote Server',reco,0
304,1,watch,pur,cosecu,'Remote Server',opti,1
305,0,tv,pur,colight,Locally,insight,1
306,0,watch,pur,coalarm,Locally,reco,1
307,1,tv,pur,coalarm,'Remote Server',nothing,0
324,0,assis,pur,cosecu,Locally,reco,1
309,0,watch,pur,corefri,Locally,reco,1
310,1,assis,pur,corefri,'Remote Server',nothing,0
343,0,alarm,pur,coalarm,Locally,insight,1
311,2,watch,pur,cosecu,'Third Party Share',insight,0
312,2,watch,pur,coalarm,'Third Party Share',nothing,0
313,2,tv,pur,cohvac,'Third Party Share',insight,0
314,1,tv,pur,cowash,'Remote Server',insight,1
318,1,watch,pur,itself,'Remote Server',nothing,1
321,0,assis,pur,cohvac,Locally,nothing,1
325,0,assis,pur,coassis,Locally,reco,1
326,0,alarm,pur,cohvac,Locally,nothing,1
328,0,assis,pur,cohvac,Locally,insight,1
338,2,alarm,pur,coalarm,'Third Party Share',opti,0
339,0,assis,pur,cosecu,Locally,insight,1
341,2,tv,pur,cotv,'Third Party Share',reco,0
348,1,assis,pur,corefri,'Remote Server',reco,1
350,0,watch,pur,coalarm,Locally,insight,1
354,2,watch,pur,colight,'Third Party Share',reco,0
360,0,alarm,pur,cohvac,Locally,nothing,0
355,1,tv,pur,colight,'Remote Server',insight,1
357,2,alarm,pur,coalarm,'Third Party Share',insight,0
358,1,assis,pur,colight,'Remote Server',opti,1
363,0,tv,pur,corefri,Locally,opti,1
365,2,assis,pur,coassis,'Third Party Share',reco,0
369,2,tv,pur,coassis,'Third Party Share',nothing,0
372,2,watch,pur,coassis,'Third Party Share',opti,1
374,2,watch,pur,corefri,'Third Party Share',reco,0
375,0,watch,pur,cosecu,Locally,opti,1
380,0,alarm,pur,corefri,Locally,reco,0
382,0,alarm,pur,cosecu,Locally,opti,0
383,2,assis,pur,cohvac,'Third Party Share',opti,1
386,0,alarm,pur,coassis,Locally,insight,1
387,1,tv,pur,cowash,'Remote Server',reco,0
