@relation control_13_1133-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R4-9-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.instance.RemoveWithValues-S2.0-C2-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C2-Lfirst-last-V-weka.filters.unsupervised.attribute.Remove-R2

@attribute sessionId numeric
@attribute whof {tv,watch,alarm,assis}
@attribute purposef {pur}
@attribute whatf {colight,cosecu,itself,cohvac,coalarm,corefri,coassis,cowash,cotv}
@attribute cstore {Locally,'Third Party Share','Remote Server'}
@attribute caction {insight,nothing,reco,opti}
@attribute decision {0,1}

@data
2,tv,pur,colight,Locally,insight,1
8,watch,pur,colight,Locally,nothing,1
12,tv,pur,colight,Locally,reco,0
13,watch,pur,coassis,Locally,nothing,1
18,alarm,pur,cowash,Locally,reco,0
26,watch,pur,cohvac,Locally,nothing,1
30,watch,pur,cotv,Locally,opti,1
32,tv,pur,cowash,Locally,opti,0
35,alarm,pur,colight,Locally,nothing,1
36,tv,pur,cotv,Locally,reco,1
37,alarm,pur,corefri,Locally,insight,0
48,assis,pur,coalarm,Locally,reco,1
53,alarm,pur,coalarm,Locally,insight,1
67,alarm,pur,coalarm,Locally,nothing,1
69,tv,pur,corefri,Locally,nothing,1
70,tv,pur,cosecu,Locally,insight,1
82,tv,pur,cotv,Locally,insight,1
88,assis,pur,cohvac,Locally,insight,0
92,tv,pur,cowash,Locally,insight,0
93,assis,pur,corefri,Locally,nothing,1
95,tv,pur,corefri,Locally,nothing,1
99,watch,pur,itself,Locally,insight,1
100,watch,pur,cosecu,Locally,opti,0
107,tv,pur,coalarm,Locally,nothing,1
109,assis,pur,corefri,Locally,reco,1
126,watch,pur,cohvac,Locally,nothing,1
129,watch,pur,colight,Locally,reco,1
132,alarm,pur,cohvac,Locally,insight,0
136,tv,pur,cohvac,Locally,reco,1
139,tv,pur,corefri,Locally,reco,0
141,watch,pur,cohvac,Locally,insight,1
149,tv,pur,corefri,Locally,nothing,0
152,tv,pur,cosecu,Locally,insight,0
153,alarm,pur,coassis,Locally,insight,1
156,watch,pur,cohvac,Locally,insight,1
159,assis,pur,cotv,Locally,reco,1
162,tv,pur,cowash,Locally,reco,1
163,watch,pur,colight,Locally,insight,0
164,watch,pur,colight,Locally,opti,1
205,alarm,pur,colight,Locally,nothing,1
169,assis,pur,cotv,Locally,nothing,0
172,assis,pur,cotv,Locally,reco,1
173,alarm,pur,cowash,Locally,nothing,1
175,watch,pur,cohvac,Locally,opti,1
212,alarm,pur,coassis,Locally,opti,1
178,tv,pur,coassis,Locally,insight,1
181,assis,pur,coassis,Locally,nothing,1
185,watch,pur,cotv,Locally,reco,0
189,tv,pur,colight,Locally,opti,1
193,alarm,pur,corefri,Locally,opti,0
197,alarm,pur,cotv,Locally,opti,0
200,alarm,pur,cotv,Locally,opti,1
209,tv,pur,coalarm,Locally,opti,1
248,assis,pur,coassis,Locally,opti,1
228,assis,pur,cosecu,Locally,nothing,1
240,alarm,pur,cohvac,Locally,opti,1
242,watch,pur,cohvac,Locally,reco,1
270,tv,pur,coalarm,Locally,nothing,1
290,watch,pur,colight,Locally,insight,1
291,alarm,pur,cowash,Locally,opti,1
293,watch,pur,corefri,Locally,opti,0
296,assis,pur,cowash,Locally,nothing,1
297,assis,pur,coalarm,Locally,insight,0
300,tv,pur,cotv,Locally,insight,0
305,tv,pur,colight,Locally,insight,1
306,watch,pur,coalarm,Locally,reco,1
324,assis,pur,cosecu,Locally,reco,1
309,watch,pur,corefri,Locally,reco,1
343,alarm,pur,coalarm,Locally,insight,1
321,assis,pur,cohvac,Locally,nothing,1
325,assis,pur,coassis,Locally,reco,1
326,alarm,pur,cohvac,Locally,nothing,1
