@relation control_13_1133-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R4-9-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.instance.RemoveWithValues-S2.0-C2-Lfirst-last-weka.filters.unsupervised.attribute.Remove-R2

@attribute sessionId numeric
@attribute whof {tv,watch,alarm,assis}
@attribute purposef {pur}
@attribute whatf {colight,cosecu,itself,cohvac,coalarm,corefri,coassis,cowash,cotv}
@attribute cstore {Locally,'Third Party Share','Remote Server'}
@attribute caction {insight,nothing,reco,opti}
@attribute decision {0,1}

@data
3,watch,pur,cosecu,'Third Party Share',insight,0
7,alarm,pur,cohvac,'Third Party Share',nothing,1
9,tv,pur,coalarm,'Third Party Share',reco,1
10,watch,pur,corefri,'Third Party Share',reco,0
27,tv,pur,colight,'Third Party Share',opti,0
40,assis,pur,colight,'Third Party Share',opti,0
41,assis,pur,coalarm,'Third Party Share',opti,0
44,assis,pur,cowash,'Third Party Share',insight,1
47,watch,pur,corefri,'Third Party Share',insight,1
50,watch,pur,cohvac,'Third Party Share',opti,1
55,assis,pur,cotv,'Third Party Share',opti,0
66,tv,pur,corefri,'Third Party Share',opti,1
71,alarm,pur,corefri,'Third Party Share',reco,1
73,alarm,pur,cohvac,'Third Party Share',insight,0
87,watch,pur,itself,'Third Party Share',opti,1
91,alarm,pur,cotv,'Third Party Share',nothing,0
96,watch,pur,itself,'Third Party Share',reco,0
102,watch,pur,itself,'Third Party Share',reco,1
103,alarm,pur,cowash,'Third Party Share',insight,1
105,assis,pur,cohvac,'Third Party Share',reco,1
108,watch,pur,cosecu,'Third Party Share',opti,0
110,assis,pur,coalarm,'Third Party Share',nothing,0
111,alarm,pur,cohvac,'Third Party Share',reco,0
113,assis,pur,coalarm,'Third Party Share',insight,0
116,alarm,pur,coassis,'Third Party Share',insight,1
124,tv,pur,cosecu,'Third Party Share',reco,0
140,alarm,pur,colight,'Third Party Share',opti,1
157,watch,pur,coassis,'Third Party Share',opti,1
222,alarm,pur,cohvac,'Third Party Share',opti,0
166,assis,pur,cowash,'Third Party Share',nothing,1
170,alarm,pur,coassis,'Third Party Share',opti,1
179,tv,pur,cosecu,'Third Party Share',reco,1
229,tv,pur,cotv,'Third Party Share',reco,1
