@relation 'default0-weka.filters.unsupervised.attribute.Remove-R2-4,6-17,20-weka.filters.unsupervised.attribute.Reorder-R1,3-7,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-7'

@attribute sessionId numeric
@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
2,assis,preshouse,coalarm,share,reco,0
2,tv,lochouse,locsens,share,nothing,0
2,hvac,preshouse,colight,remserv,nothing,1
2,wash,opauto,coassis,share,opti,0
2,secu,opauto,cohvac,remserv,insight,1
2,refr,alert,cowash,remserv,reco,0
2,light,lochouse,micro,locally,opti,1
2,light,alert,cotv,share,insight,0
2,assis,opauto,watch,locally,insight,1
2,alarm,lochouse,corefri,remserv,opti,0
2,wash,preshouse,cam,locally,nothing,0
2,tv,alert,cosecu,locally,reco,0
5,hvac,opauto,cam,share,reco,1
5,tv,lochouse,coassis,remserv,reco,1
5,assis,preshouse,colight,remserv,insight,1
5,light,alert,cowash,remserv,opti,0
5,secu,preshouse,coalarm,share,opti,1
5,secu,opauto,watch,locally,nothing,1
5,wash,lochouse,cohvac,locally,reco,0
5,wash,alert,micro,share,nothing,0
5,refr,alert,cosecu,locally,opti,0
5,hvac,preshouse,corefri,locally,insight,0
5,alarm,opauto,cotv,remserv,nothing,0
5,refr,lochouse,locsens,share,insight,0
26,assis,preshouse,watch,locally,nothing,1
26,secu,alert,cohvac,locally,reco,0
26,tv,alert,locsens,share,insight,0
26,wash,alert,coassis,remserv,reco,1
26,refr,lochouse,cowash,remserv,opti,0
26,assis,opauto,coalarm,share,opti,0
26,alarm,preshouse,cam,share,reco,0
26,secu,lochouse,micro,share,nothing,0
26,light,preshouse,cotv,remserv,nothing,0
26,alarm,opauto,corefri,locally,insight,0
26,tv,lochouse,cosecu,locally,opti,1
26,hvac,opauto,colight,remserv,insight,0
28,hvac,opauto,cam,remserv,nothing,0
28,secu,preshouse,coalarm,remserv,insight,0
28,light,alert,cowash,locally,opti,1
28,assis,opauto,cosecu,share,reco,0
28,assis,preshouse,colight,locally,insight,1
28,tv,lochouse,coassis,locally,reco,0
28,wash,opauto,cohvac,locally,nothing,1
28,wash,preshouse,micro,share,opti,0
28,light,lochouse,watch,share,insight,1
28,alarm,alert,cotv,remserv,opti,0
28,refr,lochouse,locsens,remserv,reco,1
28,tv,alert,corefri,share,nothing,0
31,secu,opauto,coassis,remserv,nothing,0
31,tv,preshouse,cowash,remserv,insight,0
31,light,alert,cam,share,nothing,0
31,refr,opauto,micro,locally,nothing,1
31,refr,preshouse,cotv,share,opti,0
31,light,lochouse,corefri,locally,reco,0
31,wash,opauto,locsens,share,reco,0
31,alarm,lochouse,colight,remserv,reco,1
31,hvac,lochouse,coalarm,share,insight,0
31,hvac,alert,watch,locally,opti,1
31,wash,preshouse,cosecu,locally,insight,1
31,assis,alert,cohvac,remserv,opti,1
32,light,lochouse,corefri,remserv,opti,0
32,refr,alert,cotv,share,insight,0
32,assis,opauto,cohvac,remserv,insight,0
32,tv,alert,cowash,remserv,reco,0
32,secu,opauto,coassis,share,opti,0
32,secu,preshouse,cam,locally,nothing,0
32,hvac,opauto,watch,locally,insight,0
32,wash,lochouse,locsens,share,nothing,0
32,alarm,preshouse,colight,remserv,nothing,0
32,hvac,preshouse,coalarm,share,reco,0
32,wash,alert,cosecu,locally,reco,0
32,refr,lochouse,micro,locally,opti,0
40,hvac,lochouse,watch,locally,reco,0
40,secu,lochouse,coassis,share,insight,0
40,secu,alert,cam,locally,opti,0
40,alarm,preshouse,colight,share,opti,0
40,refr,preshouse,micro,locally,insight,0
40,light,preshouse,corefri,remserv,insight,0
40,hvac,alert,coalarm,share,nothing,0
40,assis,lochouse,cohvac,remserv,reco,0
40,tv,opauto,cowash,remserv,nothing,0
40,refr,opauto,cotv,share,reco,0
40,wash,alert,cosecu,remserv,opti,0
40,alarm,opauto,locsens,locally,nothing,0
47,hvac,lochouse,cosecu,remserv,insight,0
47,light,alert,cohvac,remserv,nothing,1
47,tv,preshouse,locsens,locally,opti,1
47,assis,alert,coalarm,locally,nothing,1
47,tv,opauto,colight,share,insight,0
47,alarm,alert,coassis,share,reco,0
47,alarm,lochouse,cam,locally,insight,1
47,wash,opauto,corefri,remserv,reco,0
47,secu,preshouse,cotv,share,nothing,0
47,refr,preshouse,watch,remserv,opti,0
47,secu,opauto,micro,locally,reco,1
47,assis,lochouse,cowash,share,opti,0
49,secu,preshouse,cowash,locally,reco,0
49,assis,alert,locsens,share,opti,0
49,alarm,alert,cohvac,locally,insight,1
49,hvac,alert,coassis,remserv,insight,1
49,refr,opauto,colight,remserv,opti,1
49,wash,preshouse,cotv,remserv,reco,0
49,assis,lochouse,cosecu,locally,nothing,1
49,alarm,lochouse,micro,share,reco,0
49,secu,opauto,watch,share,nothing,0
49,tv,opauto,corefri,locally,opti,1
49,light,lochouse,coalarm,remserv,nothing,0
49,tv,preshouse,cam,share,insight,0
50,tv,alert,cohvac,share,nothing,0
50,light,lochouse,cosecu,share,insight,0
50,alarm,alert,coalarm,remserv,opti,1
50,wash,preshouse,watch,share,opti,1
50,wash,opauto,cowash,locally,nothing,1
50,assis,preshouse,coassis,locally,insight,1
50,secu,preshouse,locsens,remserv,insight,0
50,refr,lochouse,cam,remserv,reco,1
50,hvac,opauto,micro,remserv,nothing,0
50,light,alert,colight,locally,opti,1
50,tv,lochouse,cotv,locally,reco,1
50,assis,opauto,corefri,share,reco,1
51,tv,preshouse,corefri,locally,insight,1
51,hvac,lochouse,coassis,remserv,reco,0
51,alarm,alert,micro,share,nothing,1
51,refr,preshouse,colight,remserv,insight,1
51,light,opauto,watch,locally,nothing,1
51,alarm,lochouse,cohvac,locally,reco,1
51,assis,lochouse,locsens,share,insight,0
51,assis,alert,cosecu,locally,opti,1
51,tv,opauto,cam,share,reco,0
51,light,preshouse,coalarm,share,opti,0
51,wash,opauto,cotv,remserv,nothing,1
51,secu,alert,cowash,remserv,opti,1
55,hvac,preshouse,corefri,remserv,insight,1
55,tv,lochouse,coassis,share,insight,0
55,alarm,opauto,cotv,share,reco,0
55,wash,lochouse,cohvac,remserv,reco,1
55,secu,alert,coalarm,share,nothing,0
55,alarm,preshouse,micro,locally,insight,1
55,refr,alert,cosecu,remserv,opti,1
55,assis,opauto,locsens,locally,nothing,1
55,light,opauto,cowash,remserv,nothing,1
55,secu,lochouse,watch,locally,reco,1
55,tv,alert,cam,locally,opti,1
55,assis,preshouse,colight,share,opti,0
66,light,preshouse,watch,locally,insight,0
66,wash,lochouse,cotv,share,insight,0
66,assis,alert,locsens,share,nothing,1
66,hvac,preshouse,coassis,share,opti,1
66,wash,alert,micro,locally,opti,1
66,alarm,preshouse,cohvac,remserv,insight,1
66,assis,lochouse,cosecu,locally,reco,1
66,hvac,opauto,cam,locally,nothing,1
66,refr,opauto,colight,remserv,nothing,1
66,light,opauto,coalarm,share,reco,0
66,secu,lochouse,cowash,remserv,reco,0
66,tv,alert,corefri,remserv,opti,1
67,tv,alert,colight,remserv,reco,1
67,secu,preshouse,micro,locally,nothing,1
67,hvac,preshouse,locsens,share,reco,1
67,assis,opauto,cowash,remserv,insight,1
67,wash,alert,corefri,locally,reco,0
67,wash,lochouse,cam,share,nothing,0
67,light,lochouse,cohvac,remserv,opti,1
67,refr,alert,coalarm,share,insight,1
67,refr,lochouse,watch,locally,opti,1
67,secu,opauto,cotv,share,opti,1
67,alarm,preshouse,coassis,remserv,nothing,1
67,hvac,opauto,cosecu,locally,insight,1
69,assis,preshouse,coassis,locally,nothing,1
69,tv,alert,cohvac,share,insight,0
69,alarm,opauto,coalarm,locally,insight,1
69,alarm,preshouse,cowash,share,reco,0
69,refr,lochouse,cam,remserv,opti,1
69,secu,lochouse,colight,share,nothing,0
69,hvac,opauto,micro,remserv,insight,1
69,wash,alert,watch,remserv,reco,1
69,assis,opauto,corefri,share,opti,1
69,secu,alert,locsens,locally,reco,1
69,tv,lochouse,cotv,locally,opti,1
69,light,preshouse,cosecu,remserv,nothing,1
87,light,alert,locsens,locally,opti,0
87,assis,preshouse,cam,locally,insight,0
87,wash,preshouse,cowash,share,opti,0
87,wash,opauto,coalarm,locally,nothing,1
87,secu,preshouse,cosecu,remserv,insight,0
87,light,lochouse,colight,share,insight,0
87,hvac,opauto,cohvac,remserv,nothing,0
87,alarm,alert,watch,remserv,opti,1
87,tv,lochouse,micro,locally,reco,0
87,refr,lochouse,corefri,remserv,reco,0
87,assis,opauto,coassis,share,reco,0
87,tv,alert,cotv,share,nothing,0
93,wash,opauto,cotv,locally,insight,0
93,refr,preshouse,colight,locally,nothing,0
93,light,alert,coalarm,locally,reco,0
93,refr,opauto,cosecu,share,opti,0
93,alarm,alert,micro,remserv,reco,0
93,hvac,alert,corefri,share,insight,0
93,assis,lochouse,locsens,remserv,opti,0
93,tv,opauto,cam,remserv,insight,0
93,wash,preshouse,cohvac,share,reco,0
93,hvac,lochouse,coassis,locally,opti,1
93,secu,preshouse,watch,remserv,nothing,0
93,light,lochouse,cowash,share,nothing,0
