@relation 'default1-weka.filters.unsupervised.attribute.Remove-R2-4,6-17,20-weka.filters.unsupervised.attribute.NumericToNominal-R2-7-weka.filters.unsupervised.attribute.Reorder-R1,3-7,2'

@attribute sessionId numeric
@attribute whof {tv,secu,light,refr,alarm,assis,wash,hvac}
@attribute purposef {opauto,preshouse,alert,lochouse}
@attribute whatf {cosecu,cohvac,micro,coalarm,cotv,corefri,watch,coassis,cam,cowash,colight,locsens}
@attribute cstore {share,remserv,locally}
@attribute caction {insight,nothing,opti,reco}
@attribute decision {0,1}

@data
3,tv,opauto,cosecu,share,insight,1
3,secu,preshouse,cohvac,share,nothing,0
3,light,alert,micro,remserv,nothing,0
3,refr,preshouse,coalarm,remserv,opti,1
3,secu,opauto,cotv,locally,reco,0
3,alarm,alert,corefri,share,reco,0
3,assis,lochouse,watch,share,opti,0
3,alarm,lochouse,coassis,locally,insight,1
3,wash,opauto,cam,remserv,reco,0
3,assis,alert,cowash,locally,nothing,1
3,tv,preshouse,colight,locally,opti,1
3,hvac,lochouse,locsens,remserv,insight,0
8,alarm,alert,colight,share,insight,1
8,assis,preshouse,cohvac,remserv,nothing,1
8,hvac,lochouse,watch,remserv,opti,1
8,secu,opauto,cam,locally,insight,1
8,refr,lochouse,cotv,share,nothing,1
8,secu,preshouse,coassis,share,reco,1
8,tv,preshouse,coalarm,locally,nothing,1
8,alarm,lochouse,locsens,locally,opti,1
8,wash,opauto,cosecu,remserv,insight,0
8,tv,opauto,cowash,share,opti,0
8,refr,alert,micro,locally,reco,1
8,light,alert,corefri,remserv,reco,1
9,light,lochouse,micro,remserv,insight,1
9,alarm,lochouse,corefri,share,opti,1
9,hvac,preshouse,colight,share,nothing,0
9,tv,alert,cosecu,remserv,nothing,1
9,alarm,alert,coassis,locally,nothing,1
9,hvac,opauto,locsens,locally,reco,0
9,refr,alert,cowash,share,reco,1
9,refr,lochouse,coalarm,locally,insight,1
9,assis,opauto,watch,remserv,reco,1
9,wash,preshouse,cam,remserv,opti,0
9,secu,preshouse,cotv,locally,opti,1
9,secu,opauto,cohvac,share,insight,1
10,assis,lochouse,locsens,remserv,insight,0
10,hvac,lochouse,coassis,locally,insight,1
10,secu,alert,cowash,locally,nothing,1
10,refr,opauto,cosecu,share,insight,0
10,wash,preshouse,cohvac,share,nothing,0
10,refr,preshouse,colight,locally,opti,1
10,tv,opauto,cam,remserv,reco,0
10,alarm,alert,micro,remserv,nothing,0
10,wash,opauto,cotv,locally,reco,0
10,secu,lochouse,watch,share,opti,0
