@relation 'default2-weka.filters.unsupervised.attribute.Remove-R2-4,6-17,20-weka.filters.unsupervised.attribute.Reorder-R1,3-7,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-7'

@attribute sessionId numeric
@attribute whof {hvac,refr,assis,light,wash,alarm,secu,tv}
@attribute purposef {opauto,lochouse,preshouse,alert}
@attribute whatf {coassis,colight,locsens,coalarm,cotv,cosecu,corefri,micro,cohvac,watch,cowash,cam}
@attribute cstore {locally,remserv,share}
@attribute caction {reco,insight,opti,nothing}
@attribute decision {0,1}

@data
7,hvac,opauto,coassis,locally,reco,0
7,refr,lochouse,colight,locally,insight,0
7,assis,opauto,locsens,remserv,reco,0
7,light,lochouse,coalarm,remserv,insight,0
7,wash,preshouse,cotv,remserv,opti,1
7,refr,alert,cosecu,share,reco,0
7,hvac,preshouse,corefri,share,nothing,0
7,alarm,lochouse,micro,share,opti,0
7,alarm,alert,cohvac,locally,nothing,1
7,secu,opauto,watch,share,insight,0
7,secu,preshouse,cowash,locally,opti,0
7,tv,alert,cam,remserv,nothing,1
12,assis,lochouse,cosecu,remserv,nothing,0
12,tv,alert,corefri,share,opti,1
12,light,preshouse,watch,remserv,reco,0
12,tv,lochouse,coassis,locally,nothing,1
12,refr,preshouse,locsens,locally,reco,1
12,hvac,opauto,cam,remserv,opti,0
12,secu,alert,coalarm,locally,insight,0
12,refr,opauto,colight,share,nothing,1
12,wash,alert,micro,remserv,insight,0
12,alarm,preshouse,cohvac,share,insight,0
12,alarm,opauto,cotv,locally,opti,0
12,secu,lochouse,cowash,share,reco,0
13,tv,preshouse,corefri,share,reco,0
13,hvac,alert,cam,remserv,reco,0
13,tv,opauto,coassis,locally,insight,0
13,secu,lochouse,coalarm,remserv,opti,1
13,wash,preshouse,micro,remserv,nothing,1
13,alarm,alert,cotv,locally,reco,1
13,assis,lochouse,colight,locally,opti,1
13,light,opauto,watch,share,opti,0
13,assis,alert,cosecu,share,insight,0
13,light,preshouse,cowash,locally,nothing,1
13,refr,opauto,locsens,remserv,insight,0
13,alarm,lochouse,cohvac,share,nothing,0
14,hvac,opauto,coalarm,share,reco,1
14,refr,lochouse,cotv,share,insight,1
14,wash,lochouse,cosecu,locally,reco,1
14,tv,lochouse,cowash,remserv,reco,1
14,secu,preshouse,coassis,share,opti,0
14,hvac,preshouse,watch,locally,insight,1
14,assis,preshouse,cohvac,remserv,insight,1
14,alarm,opauto,colight,remserv,nothing,0
14,light,alert,corefri,remserv,opti,0
14,wash,alert,locsens,share,nothing,1
14,secu,opauto,cam,locally,nothing,1
14,refr,alert,micro,locally,opti,1
18,light,alert,colight,locally,insight,1
18,wash,preshouse,watch,share,insight,0
18,assis,preshouse,coassis,locally,reco,1
18,refr,lochouse,cam,remserv,nothing,0
18,hvac,lochouse,cohvac,locally,nothing,1
18,wash,opauto,cowash,locally,opti,1
18,secu,preshouse,locsens,remserv,reco,0
18,light,lochouse,cosecu,share,reco,0
18,assis,opauto,corefri,share,nothing,0
18,hvac,alert,micro,share,opti,0
18,alarm,alert,coalarm,remserv,insight,1
18,tv,opauto,cotv,remserv,opti,1
21,tv,opauto,cosecu,remserv,nothing,0
21,alarm,preshouse,corefri,share,opti,0
21,hvac,lochouse,locsens,locally,reco,1
21,secu,alert,cotv,locally,opti,1
21,light,preshouse,micro,remserv,insight,0
21,alarm,opauto,coassis,locally,nothing,1
21,secu,lochouse,cohvac,share,insight,0
21,wash,alert,cam,remserv,opti,1
21,refr,opauto,cowash,share,reco,0
21,hvac,alert,colight,share,nothing,1
21,assis,lochouse,watch,remserv,reco,0
21,refr,preshouse,coalarm,locally,insight,1
22,hvac,preshouse,locsens,remserv,insight,1
22,alarm,preshouse,coassis,locally,insight,1
22,assis,preshouse,watch,share,opti,0
